Series Name,Series Code,Country Name,Country Code,2015 [YR2015]
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Albania,ALB,4.12681470034922
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Andorra,AND,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Armenia,ARM,4.41768970251022
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Austria,AUT,5.37756284546725
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Azerbaijan,AZE,4.37324129505155
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Belarus,BLR,6.40337946850778
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Belgium,BEL,6.20055951618006
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Bosnia and Herzegovina,BIH,4.19807008705015
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Bulgaria,BGR,2.70872028201864
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Channel Islands,CHI,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Croatia,HRV,5.19948394476106
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Cyprus,CYP,4.81592639526197
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Czech Republic,CZE,4.98468926732941
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Denmark,DNK,3.49101268373796
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Estonia,EST,4.38723093058245
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Faroe Islands,FRO,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Finland,FIN,5.46862261435763
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,France,FRA,6.59523492090918
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Georgia,GEO,4.50710591601015
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Germany,DEU,3.94692920225668
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Gibraltar,GIB,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Greece,GRC,3.30112596768081
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Greenland,GRL,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Hungary,HUN,4.54410005508674
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Iceland,ISL,5.82459297325566
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Ireland,IRL,3.91249200952794
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Isle of Man,IMN,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Italy,ITA,3.72884061667593
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Kazakhstan,KAZ,9.92160776443485
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Kosovo,XKX,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Kyrgyz Republic,KGZ,8.6351461140073
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Latvia,LVA,5.65483433311722
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Liechtenstein,LIE,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Lithuania,LTU,6.91261389981482
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Luxembourg,LUX,6.64124501453251
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Moldova,MDA,6.47492173094629
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Monaco,MCO,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Montenegro,MNE,4.62634297984439
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Netherlands,NLD,4.91316916848526
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,North Macedonia,MKD,2.83670134142729
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Norway,NOR,5.39118137256179
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Poland,POL,4.78514009020142
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Portugal,PRT,4.45365015553916
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Romania,ROU,3.65325852092211
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Russian Federation,RUS,8.24474366476383
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,San Marino,SMR,..
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Serbia,SRB,3.10717491859178
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Slovak Republic,SVK,6.08529859406317
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Slovenia,SVN,6.82196051910906
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Spain,ESP,3.4163321994382
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Sweden,SWE,5.15931446589109
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Switzerland,CHE,5.69679930275473
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Tajikistan,TJK,7.50945059297779
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Turkey,TUR,5.69183279813198
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Turkmenistan,TKM,6.47584584426391
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Ukraine,UKR,5.32164646274035
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,United Kingdom,GBR,3.44305898990108
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Uzbekistan,UZB,6.65101395646464
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Albania,ALB,78.025
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Andorra,AND,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Armenia,ARM,74.467
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Austria,AUT,81.190243902439
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Azerbaijan,AZE,72.266
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belarus,BLR,73.6243902439025
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belgium,BEL,80.9926829268293
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bosnia and Herzegovina,BIH,76.865
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bulgaria,BGR,74.6146341463415
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Channel Islands,CHI,82.429
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Croatia,HRV,77.2756097560976
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cyprus,CYP,80.35
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Czech Republic,CZE,78.5780487804878
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Denmark,DNK,80.7024390243902
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Estonia,EST,77.590243902439
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Faroe Islands,FRO,81.8439024390244
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Finland,FIN,81.4804878048781
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,France,FRA,82.3219512195122
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Georgia,GEO,72.973
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Germany,DEU,80.6414634146341
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Gibraltar,GIB,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Greece,GRC,81.0365853658537
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Greenland,GRL,71.2463414634146
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Hungary,HUN,75.5682926829269
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Iceland,ISL,82.4682926829268
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ireland,IRL,81.4536585365854
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Isle of Man,IMN,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Italy,ITA,82.5439024390244
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kazakhstan,KAZ,71.97
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kosovo,XKX,71.4951219512195
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kyrgyz Republic,KGZ,70.6512195121951
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Latvia,LVA,74.4804878048781
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Liechtenstein,LIE,82.6560975609756
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lithuania,LTU,74.3219512195122
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Luxembourg,LUX,82.2926829268293
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Moldova,MDA,71.478
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Monaco,MCO,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Montenegro,MNE,76.452
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Netherlands,NLD,81.509756097561
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,North Macedonia,MKD,75.406
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Norway,NOR,82.3048780487805
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Poland,POL,77.4512195121951
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Portugal,PRT,81.1243902439025
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Romania,ROU,74.9121951219512
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Russian Federation,RUS,71.1834146341463
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,San Marino,SMR,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Serbia,SRB,75.2878048780488
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Slovak Republic,SVK,76.5634146341463
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Slovenia,SVN,80.7756097560976
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Spain,ESP,82.8317073170732
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sweden,SWE,82.2048780487805
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Switzerland,CHE,82.8975609756098
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Tajikistan,TJK,70.137
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Turkey,TUR,76.532
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Turkmenistan,TKM,67.704
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ukraine,UKR,71.189512195122
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,United Kingdom,GBR,80.9560975609756
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Uzbekistan,UZB,70.928
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 11/23/2021,,,,
